Country	Company Name	Industry
Germany	EuroPac GmbH	Food & Beverage
France	Alpine Packaging S.A.	Consumer Goods
Italy	PackItalia S.p.A.	Pharmaceuticals
Netherlands	DutchFlex BV	Industrial Manufacturing
Belgium	Belgipack NV	Chemicals
Poland	PolPak Sp. z o.o.	Electronics
Czech Republic	CzechoWrap s.r.o.	Automotive Parts
China	ShangPack Ltd.	Food & Beverage
Vietnam	VietSeal Co., Ltd.	Consumer Goods
Malaysia	MalayFlex Industries	Packaging Equipment
Canada	NorthWrap Inc.	Pharmaceuticals
USA	GreatPack Solutions Inc.	Industrial Manufacturing
UK	NewPack UK Ltd.	Chemicals
Ireland	GreenPac Ireland Ltd.	Electronics
Germany	KellerTech GmbH	Industrial Manufacturing
France	BeauEmballage S.A.	Consumer Goods
Italy	RomaPac S.p.A.	Food & Beverage
Netherlands	AmsterPack BV	Pharmaceuticals
Belgium	EurisPack NV	Chemicals
Poland	WarsawFlex Sp. z o.o.	Electronics
Czech Republic	PragueWrap s.r.o.	Automotive Parts
China	ZhongPack Ltd.	Food & Beverage
Vietnam	HanoiPac Co., Ltd.	Consumer Goods
Malaysia	KualaFlex Industries	Packaging Equipment
Canada	WestPac Inc.	Pharmaceuticals
USA	PacificPac LLC	Industrial Manufacturing
UK	LondonPack Ltd.	Chemicals
Ireland	DublinFlex Ltd.	Electronics
Germany	BavariaPack GmbH	Consumer Goods
France	LyonBox S.A.	Industrial Manufacturing
Italy	TuscanyWrap S.p.A.	Food & Beverage
Netherlands	RotterPack BV	Pharmaceuticals
Belgium	BrusselsPac NV	Chemicals
Poland	PoznanPak Sp. z o.o.	Electronics
Czech Republic	BohemiaPack s.r.o.	Automotive Parts
China	BeiPack Ltd.	Food & Beverage
Vietnam	SaigonFlex Co., Ltd.	Consumer Goods
Malaysia	PenangPack Industries	Packaging Equipment
Canada	OntarioWrap Inc.	Pharmaceuticals
USA	ColoradoPac LLC	Industrial Manufacturing
UK	ManchesterPack Ltd.	Chemicals
Ireland	CorkFlex Ltd.	Electronics
Germany	MunichFlex GmbH	Consumer Goods
France	MarseiPac S.A.	Industrial Manufacturing
Italy	VenetianPack S.p.A.	Food & Beverage
Netherlands	UtrechtPack BV	Pharmaceuticals
Belgium	GhentPac NV	Chemicals
Poland	KrakowPak Sp. z o.o.	Electronics
Czech Republic	MoravaWrap s.r.o.	Automotive Parts
China	ShenPack Ltd.	Food & Beverage
Vietnam	DaNangPack Co., Ltd.	Consumer Goods
Malaysia	JohorFlex Industries	Packaging Equipment
Canada	QuebecWrap Inc.	Pharmaceuticals
USA	FloridaPack LLC	Industrial Manufacturing
UK	BristolPack Ltd.	Chemicals
Ireland	GalwayFlex Ltd.	Electronics
Germany	FrankfurtPack GmbH	Consumer Goods
France	BordeauxPack S.A.	Industrial Manufacturing
Italy	RomeFlex S.p.A.	Food & Beverage
Netherlands	TheHaguePack BV	Pharmaceuticals
Belgium	AntwerpPac NV	Chemicals
Poland	WroclawPak Sp. z o.o.	Electronics
Czech Republic	OlomoucPack s.r.o.	Automotive Parts
China	HuPack Ltd.	Food & Beverage
Vietnam	HoChiMinhWrap Co., Ltd.	Consumer Goods
Malaysia	KedahPack Industries	Packaging Equipment
Canada	AlbertaPac Inc.	Pharmaceuticals
USA	ArizonaPack LLC	Industrial Manufacturing
UK	LiverpoolPack Ltd.	Chemicals
Ireland	LimerickFlex Ltd.	Electronics
Germany	HamburgFlex GmbH	Consumer Goods
France	NicePac S.A.	Industrial Manufacturing
Italy	MilanPack S.p.A.	Food & Beverage
Netherlands	EindhovenPack BV	Pharmaceuticals
Belgium	CharleroiPack NV	Chemicals
Poland	GdanskPak Sp. z o.o.	Electronics
Czech Republic	BrnoWrap s.r.o.	Automotive Parts
China	GuangPack Ltd.	Food & Beverage
Vietnam	DaLatPack Co., Ltd.	Consumer Goods
Malaysia	SelangorFlex Industries	Packaging Equipment
Canada	SaskatchewanPack Inc.	Pharmaceuticals
USA	OhioPack LLC	Industrial Manufacturing
UK	EdinburghPack Ltd.	Chemicals
Ireland	WaterfordFlex Ltd.	Electronics
Germany	StuttgartPack GmbH	Consumer Goods
France	DijonFlex S.A.	Industrial Manufacturing
Italy	PisaPac S.p.A.	Food & Beverage
Netherlands	RotterdamFlex BV	Pharmaceuticals
Belgium	LiegePack NV	Chemicals
Poland	LodzPak Sp. z o.o.	Electronics
Czech Republic	ZlinPack s.r.o.	Automotive Parts
China	ChengPack Ltd.	Food & Beverage
Vietnam	CanThoPack Co., Ltd.	Consumer Goods
Malaysia	MalaccaPack Industries	Packaging Equipment
Canada	VancouverWrap Inc.	Pharmaceuticals
USA	GeorgiaPack LLC	Industrial Manufacturing
UK	GlasgowPack Ltd.	Chemicals
Ireland	CorkPack Ltd.	Electronics
Germany	FreiburgFlex GmbH	Consumer Goods
France	StrasbourgPack S.A.	Industrial Manufacturing
Italy	BolognaWrap S.p.A.	Food & Beverage
Netherlands	AmsterdamPack BV	Pharmaceuticals
Belgium	MonsPac NV	Chemicals
Poland	KatowicePak Sp. z o.o.	Electronics
Czech Republic	PilsenWrap s.r.o.	Automotive Parts
China	XiPack Ltd.	Food & Beverage
